Entidad federativa;Grupo quinquenal de edad;Población
Estados Unidos Mexicanos;Total;126014024
Estados Unidos Mexicanos;0 a 4 años;10047365
Estados Unidos Mexicanos;5 a 9 años;10764379
Estados Unidos Mexicanos;10 a 14 años;10943540
Estados Unidos Mexicanos;15 a 19 años;10806690
Estados Unidos Mexicanos;20 a 24 años;10422095
Estados Unidos Mexicanos;25 a 29 años;9993001
Estados Unidos Mexicanos;30 a 34 años;9420827
Estados Unidos Mexicanos;35 a 39 años;9020276
Estados Unidos Mexicanos;40 a 44 años;8503586
Estados Unidos Mexicanos;45 a 49 años;7942413
Estados Unidos Mexicanos;50 a 54 años;7037532
Estados Unidos Mexicanos;55 a 59 años;5695958
Estados Unidos Mexicanos;60 a 64 años;4821062
Estados Unidos Mexicanos;65 a 69 años;3645077
Estados Unidos Mexicanos;70 a 74 años;2647340
Estados Unidos Mexicanos;75 a 79 años;1814582
Estados Unidos Mexicanos;80 a 84 años;1175364
Estados Unidos Mexicanos;85 a 89 años;659245
Estados Unidos Mexicanos;90 a 94 años;266806
Estados Unidos Mexicanos;95 a 99 años;95205
Estados Unidos Mexicanos;100 años y más;18295
Estados Unidos Mexicanos;No especificado;273386
Aguascalientes;Total;1425607
Aguascalientes;0 a 4 años;124430
Aguascalientes;5 a 9 años;131048
Aguascalientes;10 a 14 años;129717
Aguascalientes;15 a 19 años;131967
Aguascalientes;20 a 24 años;127020
Aguascalientes;25 a 29 años;118426
Aguascalientes;30 a 34 años;106825
Aguascalientes;35 a 39 años;99257
Aguascalientes;40 a 44 años;92378
Aguascalientes;45 a 49 años;84669
Aguascalientes;50 a 54 años;74121
Aguascalientes;55 a 59 años;58865
Aguascalientes;60 a 64 años;48306
Aguascalientes;65 a 69 años;35823
Aguascalientes;70 a 74 años;25586
Aguascalientes;75 a 79 años;16581
Aguascalientes;80 a 84 años;10186
Aguascalientes;85 a 89 años;5576
Aguascalientes;90 a 94 años;2410
Aguascalientes;95 a 99 años;796
Aguascalientes;100 años y más;112
Aguascalientes;No especificado;1508
Baja California;Total;3769020
Baja California;0 a 4 años;266301
Baja California;5 a 9 años;299654
Baja California;10 a 14 años;312348
Baja California;15 a 19 años;315639
Baja California;20 a 24 años;340359
Baja California;25 a 29 años;328244
Baja California;30 a 34 años;302389
Baja California;35 a 39 años;292069
Baja California;40 a 44 años;273611
Baja California;45 a 49 años;260844
Baja California;50 a 54 años;221388
Baja California;55 a 59 años;168653
Baja California;60 a 64 años;134022
Baja California;65 a 69 años;94704
Baja California;70 a 74 años;65425
